year,month,region,avg_temp,humidity,Antihistamines_demand_level,ColdRelief_demand_level,Painkillers_demand_level,Antibiotics_demand_level,DigestiveAids_demand_level
2015,1,northeast,16.4,64.2,Low,High,Low,Moderate,Low
2015,1,northwest,4.2,78.5,Low,High,Low,High,Low
2015,1,southeast,19.4,68.0,Low,High,Low,Moderate,Low
2015,1,southwest,18.7,43.3,Low,High,Low,Low,Low
2015,1,central,25.9,44.6,Low,High,Moderate,Low,Moderate
2015,2,northeast,18.9,51.3,Low,High,Low,Moderate,Low
2015,2,northwest,8.8,60.0,Low,High,Low,Moderate,Low
2015,2,southeast,24.8,64.8,Low,High,Moderate,Moderate,Low
2015,2,southwest,23.7,54.0,Low,High,Moderate,Moderate,Low
2015,2,central,19.8,52.9,Low,High,Low,Moderate,Low
2015,3,northeast,17.0,62.2,High,Low,Low,Moderate,Low
2015,3,northwest,21.5,66.4,High,Low,Moderate,Moderate,Low
2015,3,southeast,27.4,43.1,Low,Low,Moderate,Low,Moderate
2015,3,southwest,31.4,59.6,Low,Low,High,Moderate,Moderate
2015,3,central,15.1,75.4,High,Low,Low,High,Low
2015,4,northeast,19.3,55.8,Low,Low,Low,Moderate,Low
2015,4,northwest,8.4,52.9,Low,Moderate,Low,Moderate,Low
2015,4,southeast,20.9,60.4,High,Low,Moderate,Moderate,Low
2015,4,southwest,26.6,78.5,High,Low,Moderate,High,Moderate
2015,4,central,16.6,71.3,High,Low,Low,High,Low
2015,5,northeast,22.6,70.9,High,Low,Moderate,High,High
2015,5,northwest,15.1,47.2,Low,Low,Low,Low,High
2015,5,southeast,21.9,57.1,Low,Low,Moderate,Moderate,High
2015,5,southwest,23.7,49.5,Low,Low,Moderate,Low,High
2015,5,central,14.7,65.3,High,Moderate,Low,Moderate,High
2015,6,northeast,21.4,53.7,Low,Low,Moderate,Moderate,High
2015,6,northwest,16.5,59.9,Low,Low,Low,Moderate,High
2015,6,southeast,32.7,52.0,Low,Low,High,Moderate,High
2015,6,southwest,34.0,73.9,High,Low,High,High,High
2015,6,central,25.7,66.5,High,Low,Moderate,Moderate,High
2015,7,northeast,25.5,62.8,Moderate,Low,Moderate,Moderate,High
2015,7,northwest,16.6,51.8,Moderate,Low,Low,Moderate,High
2015,7,southeast,25.5,62.6,Moderate,Low,Moderate,Moderate,High
2015,7,southwest,35.1,49.7,Moderate,Low,High,Low,High
2015,7,central,26.0,57.0,Moderate,Low,Moderate,Moderate,High
2015,8,northeast,20.6,59.9,Moderate,Low,Moderate,Moderate,High
2015,8,northwest,18.6,78.7,Moderate,Low,Low,High,High
2015,8,southeast,26.7,50.5,Moderate,Low,Moderate,Moderate,High
2015,8,southwest,32.7,66.7,Moderate,Low,High,Moderate,High
2015,8,central,29.4,46.5,Moderate,Low,Moderate,Low,High
2015,9,northeast,14.2,72.7,Moderate,Moderate,Low,High,Low
2015,9,northwest,17.6,43.6,Moderate,Low,Low,Low,Low
2015,9,southeast,19.8,48.9,Moderate,Low,Low,Low,Low
